taxlevel	rankID	taxon	daughterlevels	total	00_SrnOcean_DCM	01_SrnOcean_SURF	02_SrnOcean_MESO	03_SPac_DCM	04_SPac_SURF	05_SPac_MESO	06_NPac_DCM	07_NPac_MESO	08_NPac_SURF	09_NAtl_SURF	10_AraSea_MESO
4	0.1.3.4.1	Thermoplasmata_unclassified	1	36	0	0	6	2	1	3	10	3	2	5	4
4	0.1.3.4.2	Thermoplasmatales	3	395	1	0	67	38	52	46	83	37	14	31	26
4	0.1.4.1.1	Marine_Group_I_unclassified	1	1424	0	0	262	5	0	562	69	336	0	76	114
4	0.1.4.1.2	Unknown_Order	1	1266	1	0	305	2	0	445	32	324	0	49	108
4	0.1.4.2.1	Miscellaneous_Crenarchaeotic_Group_unclassified	1	1	0	0	0	0	0	0	0	0	0	0	1
4	0.1.4.3.1	Unknown_Order	1	9	0	0	4	0	0	2	0	2	0	0	1
4	0.1.4.4.1	Unknown_Order	1	11	0	0	1	0	0	2	0	6	0	0	2
4	0.1.4.5.1	Thaumarchaeota_unclassified	1	594	0	0	82	1	0	244	16	169	0	8	74
4	0.2.1.1.1	Acidobacteria_unclassified	1	13	0	0	1	0	0	5	0	3	0	0	4
4	0.2.1.1.2	Subgroup_21	1	3	0	0	0	0	0	0	0	3	0	0	0
4	0.2.1.1.3	Subgroup_6	1	63	0	0	16	0	0	13	0	13	0	0	21
4	0.2.1.2.1	Acidobacteria_unclassified	1	3	0	0	1	0	0	0	0	2	0	0	0
4	0.2.2.1.1	Acidimicrobiales	4	2390	0	0	136	334	416	210	360	153	257	309	215
4	0.2.2.2.1	Actinobacteria_unclassified	1	60	0	1	15	1	3	13	1	10	1	3	12
4	0.2.2.2.2	Corynebacteriales	4	22	0	0	12	0	0	5	1	3	0	0	1
4	0.2.2.2.3	Frankiales	2	8	1	0	6	0	0	1	0	0	0	0	0
4	0.2.2.2.4	Micrococcales	5	150	1	1	9	14	0	94	4	21	2	0	4
4	0.2.2.2.5	Micromonosporales	1	2	0	0	1	0	0	1	0	0	0	0	0
4	0.2.2.2.6	Propionibacteriales	3	45	0	0	10	0	0	29	2	3	0	0	1
4	0.2.2.3.1	Actinobacteria_unclassified	1	486	0	0	70	37	5	86	46	79	11	25	127
4	0.2.3.1.1	BD1-5_unclassified	1	6	0	0	2	0	0	0	0	2	0	0	2
4	0.2.4.1.1	BHI80-139_unclassified	1	2	0	0	0	0	0	0	0	0	0	0	2
4	0.2.5.1.1	Bacteria_unclassified	1	18297	1290	1142	1548	1443	1259	1641	1650	1835	1396	1563	3530
4	0.2.6.1.1	BD2-2_unclassified	1	1	0	0	0	0	0	0	0	0	0	1	0
4	0.2.6.2.1	Bacteroidetes_unclassified	1	1614	454	130	233	48	152	74	206	67	108	131	11
4	0.2.6.3.1	Cytophagales	4	345	7	4	21	32	126	30	42	27	39	15	2
4	0.2.6.3.2	Cytophagia_unclassified	1	1	0	0	0	0	0	0	0	0	1	0	0
4	0.2.6.3.3	Order_II	1	1	0	0	0	1	0	0	0	0	0	0	0
4	0.2.6.3.4	Order_III	1	8	0	0	0	0	1	1	0	1	3	0	2
4	0.2.6.4.1	Flavobacteriales	4	6455	1286	1947	551	175	469	307	431	101	405	766	17
4	0.2.6.5.1	Sphingobacteriales	1	9	0	0	2	0	1	0	4	2	0	0	0
4	0.2.6.6.1	VC2.1_Bac22_unclassified	1	6	0	0	0	0	0	0	0	0	0	0	6
4	0.2.7.1.1	Candidate_division_OD1_unclassified	1	11	0	0	0	0	0	1	0	2	0	0	8
